,timestamp,asset,volumeUSD,datetime
128,1670630400000,bnb,94579780.84470299,2022-12-10 08:00:00
130,1670630400000,doge,93139764.97365451,2022-12-10 08:00:00
139,1670630400000,xrp,91668087.17418152,2022-12-10 08:00:00
133,1670630400000,ltc,66165383.71788252,2022-12-10 08:00:00
134,1670630400000,matic,61809230.98200303,2022-12-10 08:00:00
137,1670630400000,trx,37252156.88736198,2022-12-10 08:00:00
136,1670630400000,sol,36216605.792742796,2022-12-10 08:00:00
126,1670630400000,ada,26233693.687568236,2022-12-10 08:00:00
131,1670630400000,dot,23377669.24489566,2022-12-10 08:00:00
135,1670630400000,shib,17533292.26945496,2022-12-10 08:00:00
127,1670630400000,avax,14867642.085762555,2022-12-10 08:00:00
138,1670630400000,uni,12532385.10942377,2022-12-10 08:00:00
115,1670544000000,btc,8018402221.87406,2022-12-09 08:00:00
118,1670544000000,eth,1986363760.4728181,2022-12-09 08:00:00
125,1670544000000,xrp,264565246.78158,2022-12-09 08:00:00
116,1670544000000,doge,188069895.063509,2022-12-09 08:00:00
114,1670544000000,bnb,167470119.32729307,2022-12-09 08:00:00
119,1670544000000,ltc,116846889.77130513,2022-12-09 08:00:00
120,1670544000000,matic,98309850.7237688,2022-12-09 08:00:00
122,1670544000000,sol,94635641.712813,2022-12-09 08:00:00
112,1670544000000,ada,56809160.445669234,2022-12-09 08:00:00
117,1670544000000,dot,43818889.340448685,2022-12-09 08:00:00
123,1670544000000,trx,39865566.435138136,2022-12-09 08:00:00
121,1670544000000,shib,31433564.22324599,2022-12-09 08:00:00
124,1670544000000,uni,25223770.262896147,2022-12-09 08:00:00
113,1670544000000,avax,23523734.49162657,2022-12-09 08:00:00
101,1670457600000,btc,8233311765.5909815,2022-12-08 08:00:00
104,1670457600000,eth,2329419418.59426,2022-12-08 08:00:00
111,1670457600000,xrp,299227082.7881165,2022-12-08 08:00:00
102,1670457600000,doge,218392771.89559934,2022-12-08 08:00:00
105,1670457600000,ltc,185429858.7518092,2022-12-08 08:00:00
100,1670457600000,bnb,179470130.2243362,2022-12-08 08:00:00
106,1670457600000,matic,124650482.770078,2022-12-08 08:00:00
108,1670457600000,sol,81796797.39704558,2022-12-08 08:00:00
98,1670457600000,ada,56765453.539084926,2022-12-08 08:00:00
103,1670457600000,dot,49463894.488338575,2022-12-08 08:00:00
109,1670457600000,trx,41685028.181958996,2022-12-08 08:00:00
107,1670457600000,shib,40057984.207987085,2022-12-08 08:00:00
99,1670457600000,avax,28680309.40534117,2022-12-08 08:00:00
110,1670457600000,uni,24911208.275479246,2022-12-08 08:00:00
87,1670371200000,btc,7696135701.300563,2022-12-07 08:00:00
90,1670371200000,eth,2149845727.875568,2022-12-07 08:00:00
97,1670371200000,xrp,330388237.27785885,2022-12-07 08:00:00
88,1670371200000,doge,290219005.9010416,2022-12-07 08:00:00
86,1670371200000,bnb,249399604.74891028,2022-12-07 08:00:00
91,1670371200000,ltc,170472054.48032168,2022-12-07 08:00:00
92,1670371200000,matic,151135409.7568429,2022-12-07 08:00:00
94,1670371200000,sol,103721650.62749493,2022-12-07 08:00:00
84,1670371200000,ada,89960903.77721511,2022-12-07 08:00:00
89,1670371200000,dot,68663571.74078384,2022-12-07 08:00:00
93,1670371200000,shib,50282718.20150456,2022-12-07 08:00:00
95,1670371200000,trx,47352553.4474061,2022-12-07 08:00:00
85,1670371200000,avax,36432750.8071421,2022-12-07 08:00:00
96,1670371200000,uni,27010260.207417276,2022-12-07 08:00:00
73,1670284800000,btc,7627670993.913291,2022-12-06 08:00:00
76,1670284800000,eth,1874124378.5885572,2022-12-06 08:00:00
83,1670284800000,xrp,312574743.10545415,2022-12-06 08:00:00
74,1670284800000,doge,252523261.18669218,2022-12-06 08:00:00
72,1670284800000,bnb,169946221.28021324,2022-12-06 08:00:00
77,1670284800000,ltc,159491892.1206451,2022-12-06 08:00:00
80,1670284800000,sol,133428332.02282225,2022-12-06 08:00:00
78,1670284800000,matic,107088224.57957643,2022-12-06 08:00:00
70,1670284800000,ada,53247901.28820467,2022-12-06 08:00:00
81,1670284800000,trx,52613457.1421723,2022-12-06 08:00:00
79,1670284800000,shib,41070119.026285365,2022-12-06 08:00:00
75,1670284800000,dot,37401097.039639145,2022-12-06 08:00:00
71,1670284800000,avax,29566175.267280225,2022-12-06 08:00:00
82,1670284800000,uni,26596547.924083196,2022-12-06 08:00:00
59,1670198400000,btc,8654876905.372381,2022-12-05 08:00:00
62,1670198400000,eth,2332455349.566843,2022-12-05 08:00:00
60,1670198400000,doge,485002358.82848185,2022-12-05 08:00:00
69,1670198400000,xrp,349534490.0635043,2022-12-05 08:00:00
63,1670198400000,ltc,328622001.033872,2022-12-05 08:00:00
58,1670198400000,bnb,205744679.49665123,2022-12-05 08:00:00
64,1670198400000,matic,154206122.90028194,2022-12-05 08:00:00
66,1670198400000,sol,154088645.34501883,2022-12-05 08:00:00
65,1670198400000,shib,133253196.13240255,2022-12-05 08:00:00
56,1670198400000,ada,71040177.18396163,2022-12-05 08:00:00
67,1670198400000,trx,56128128.44917609,2022-12-05 08:00:00
57,1670198400000,avax,54193300.28639716,2022-12-05 08:00:00
61,1670198400000,dot,50857849.17362185,2022-12-05 08:00:00
68,1670198400000,uni,32355113.666391347,2022-12-05 08:00:00
45,1670112000000,btc,6600889869.511767,2022-12-04 08:00:00
48,1670112000000,eth,1831460923.9818172,2022-12-04 08:00:00
46,1670112000000,doge,378946815.92226434,2022-12-04 08:00:00
44,1670112000000,bnb,178049536.62053394,2022-12-04 08:00:00
55,1670112000000,xrp,155661176.2048289,2022-12-04 08:00:00
50,1670112000000,matic,78497605.1078725,2022-12-04 08:00:00
49,1670112000000,ltc,77218639.83296852,2022-12-04 08:00:00
52,1670112000000,sol,66909102.6191977,2022-12-04 08:00:00
42,1670112000000,ada,62110785.76433901,2022-12-04 08:00:00
53,1670112000000,trx,45480727.885029,2022-12-04 08:00:00
43,1670112000000,avax,44512787.104346484,2022-12-04 08:00:00
47,1670112000000,dot,40582764.87135299,2022-12-04 08:00:00
51,1670112000000,shib,32476152.685875986,2022-12-04 08:00:00
54,1670112000000,uni,25451321.802768435,2022-12-04 08:00:00
31,1670025600000,btc,6454998692.153516,2022-12-03 08:00:00
34,1670025600000,eth,2138335513.1789744,2022-12-03 08:00:00
32,1670025600000,doge,318564465.6161013,2022-12-03 08:00:00
30,1670025600000,bnb,184556026.34570014,2022-12-03 08:00:00
41,1670025600000,xrp,172142374.28828332,2022-12-03 08:00:00
36,1670025600000,matic,101863803.68378402,2022-12-03 08:00:00
35,1670025600000,ltc,88172045.10073154,2022-12-03 08:00:00
28,1670025600000,ada,84267906.22796865,2022-12-03 08:00:00
38,1670025600000,sol,76196718.78943405,2022-12-03 08:00:00
33,1670025600000,dot,62120566.678517744,2022-12-03 08:00:00
29,1670025600000,avax,55120801.06504857,2022-12-03 08:00:00
37,1670025600000,shib,53796742.94492204,2022-12-03 08:00:00
40,1670025600000,uni,37675868.16355728,2022-12-03 08:00:00
39,1670025600000,trx,35592451.088278465,2022-12-03 08:00:00
17,1669939200000,btc,7432603621.851768,2022-12-02 08:00:00
20,1669939200000,eth,2430353568.563219,2022-12-02 08:00:00
18,1669939200000,doge,382198578.6940462,2022-12-02 08:00:00
27,1669939200000,xrp,298044276.4747915,2022-12-02 08:00:00
16,1669939200000,bnb,286758637.22313404,2022-12-02 08:00:00
22,1669939200000,matic,185272850.36772162,2022-12-02 08:00:00
21,1669939200000,ltc,123304542.78323503,2022-12-02 08:00:00
24,1669939200000,sol,114856864.98690948,2022-12-02 08:00:00
19,1669939200000,dot,89021307.37334514,2022-12-02 08:00:00
14,1669939200000,ada,63974728.92734267,2022-12-02 08:00:00
26,1669939200000,uni,63493902.07367861,2022-12-02 08:00:00
15,1669939200000,avax,60181082.32470535,2022-12-02 08:00:00
23,1669939200000,shib,51214500.45042328,2022-12-02 08:00:00
25,1669939200000,trx,47365658.03494699,2022-12-02 08:00:00
3,1669852800000,btc,8387388495.547836,2022-12-01 08:00:00
6,1669852800000,eth,2432680248.1201196,2022-12-01 08:00:00
2,1669852800000,bnb,569059997.3936164,2022-12-01 08:00:00
4,1669852800000,doge,451865227.80793357,2022-12-01 08:00:00
13,1669852800000,xrp,271102156.4949144,2022-12-01 08:00:00
8,1669852800000,matic,228622634.05007565,2022-12-01 08:00:00
7,1669852800000,ltc,202114333.7701472,2022-12-01 08:00:00
10,1669852800000,sol,113140134.06888646,2022-12-01 08:00:00
0,1669852800000,ada,71595878.06295441,2022-12-01 08:00:00
11,1669852800000,trx,53347969.91116214,2022-12-01 08:00:00
