,exchange,timestamp,originalQuantity,price,side,status,type,timeInForce,action,orderId,unit,positionType,datetime,pair
134,binance,1669835816471,0.568,17123.11,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:16:56.471,BTCUSDT
135,binance,1669835818006,0.5,17123.82,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:16:58.006,BTCUSDT
136,binance,1669835819109,0.006999999999999999,17128.19,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:16:59.109,BTCUSDT
137,binance,1669835820114,0.193,17130.52,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:00.114,BTCUSDT
138,binance,1669835821127,0.022000000000000002,17132.6,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:01.127,BTCUSDT
139,binance,1669835822136,0.5,17133.73,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:02.136,BTCUSDT
140,binance,1669835824125,0.09300000000000001,17137.62,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:04.125,BTCUSDT
141,binance,1669835826613,0.075,17135.97,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:06.613,BTCUSDT
142,binance,1669835828079,1.504,17142.43,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:08.079,BTCUSDT
143,binance,1669835829118,0.018000000000000002,17145.24,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:09.118,BTCUSDT
144,binance,1669835831455,0.003,17139.48,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:11.455,BTCUSDT
145,binance,1669835833589,0.001,17133.16,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:13.589,BTCUSDT
146,binance,1669835861103,0.086,17146.49,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:41.103,BTCUSDT
147,binance,1669835862386,0.001,17149.22,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:42.386,BTCUSDT
148,binance,1669835863516,0.563,17149.12,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:17:43.516,BTCUSDT
149,binance,1669835881748,0.006,17146.91,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:01.748,BTCUSDT
150,binance,1669835897101,0.107,17151.62,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:17.101,BTCUSDT
151,binance,1669835898136,0.166,17156.76,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:18.136,BTCUSDT
152,binance,1669835899167,0.022000000000000002,17158.0,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:19.167,BTCUSDT
153,binance,1669835900204,0.413,17159.66,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:20.204,BTCUSDT
154,binance,1669835914088,0.757,17160.22,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:34.088,BTCUSDT
155,binance,1669835915110,0.036000000000000004,17162.27,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:35.110,BTCUSDT
156,binance,1669835916307,0.011000000000000001,17162.99,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:36.307,BTCUSDT
157,binance,1669835917326,0.07400000000000001,17168.44,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:37.326,BTCUSDT
158,binance,1669835918380,0.355,17169.46,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:38.380,BTCUSDT
159,binance,1669835924074,0.096,17171.87,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:44.074,BTCUSDT
160,binance,1669835925082,0.011000000000000001,17174.12,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:45.082,BTCUSDT
161,binance,1669835926102,0.01,17176.56,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:46.102,BTCUSDT
162,binance,1669835927105,0.20800000000000002,17179.18,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:47.105,BTCUSDT
163,binance,1669835928108,0.11800000000000001,17195.58,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:18:48.108,BTCUSDT
164,binance,1669835984326,0.001,17190.39,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:19:44.326,BTCUSDT
165,binance,1669835990096,0.027999999999999997,17198.96,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:19:50.096,BTCUSDT
166,binance,1669835991156,0.111,17202.14,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:19:51.156,BTCUSDT
167,binance,1669835996084,0.08800000000000001,17203.73,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:19:56.084,BTCUSDT
168,binance,1669835997187,0.061,17205.96,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:19:57.187,BTCUSDT
169,binance,1669836197054,0.16399999999999998,17166.69,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:23:17.054,BTCUSDT
170,binance,1669836245172,0.001,17001.9,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:24:05.172,BTCUSDT
171,binance,1669836262562,0.085,16994.45,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:24:22.562,BTCUSDT
172,binance,1669836266033,0.012,16992.42,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:24:26.033,BTCUSDT
173,binance,1669836366932,11.515,17164.27,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:26:06.932,BTCUSDT
174,binance,1669836570587,0.04,17175.24,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:29:30.587,BTCUSDT
175,binance,1669836575529,0.52,17182.88,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:29:35.529,BTCUSDT
176,binance,1669836779106,0.02,16985.8,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:32:59.106,BTCUSDT
177,binance,1669836799140,0.022000000000000002,16977.49,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:33:19.140,BTCUSDT
178,binance,1669836800143,0.015,16974.76,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:33:20.143,BTCUSDT
179,binance,1669837134793,0.066,16971.32,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:38:54.793,BTCUSDT
180,binance,1669837139722,1.719,16968.9,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:38:59.722,BTCUSDT
181,binance,1669837141224,0.049,16967.96,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:39:01.224,BTCUSDT
